日期,TTB,TTM,TTS,URL
2024-01-01,,,,
2024-01-02,,,,
2024-01-03,,,,
2024-01-04,142.44,143.44,144.44,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240104.pdf
2024-01-05,144.02,145.02,146.02,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240105.pdf
2024-01-06,,,,
2024-01-07,,,,
2024-01-08,,,,
2024-01-09,142.98,143.98,144.98,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240109.pdf
2024-01-10,143.69,144.69,145.69,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240110.pdf
2024-01-11,144.65,145.65,146.65,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240111.pdf
2024-01-12,144.32,145.32,146.32,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240112.pdf
2024-01-13,,,,
2024-01-14,,,,
2024-01-15,144.17,145.17,146.17,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240115.pdf
2024-01-16,144.91,145.91,146.91,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240116.pdf
2024-01-17,146.44,147.44,148.44,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240117.pdf
2024-01-18,147.26,148.26,149.26,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240118.pdf
2024-01-19,147.19,148.19,149.19,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240119.pdf
2024-01-20,,,,
2024-01-21,,,,
2024-01-22,147.20,148.20,149.20,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240122.pdf
2024-01-23,147.15,148.15,149.15,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240123.pdf
2024-01-24,147.17,148.17,149.17,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240124.pdf
2024-01-25,146.86,147.86,148.86,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240125.pdf
2024-01-26,146.70,147.70,148.70,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240126.pdf
2024-01-27,,,,
2024-01-28,,,,
2024-01-29,147.25,148.25,149.25,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240129.pdf
2024-01-30,146.38,147.38,148.38,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240130.pdf
2024-01-31,146.55,147.55,148.55,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240131.pdf
2024-02-01,145.85,146.85,147.85,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240201.pdf
2024-02-02,145.49,146.49,147.49,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240202.pdf
2024-02-03,,,,
2024-02-04,,,,
2024-02-05,147.76,148.76,149.76,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240205.pdf
2024-02-06,147.68,148.68,149.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240206.pdf
2024-02-07,146.88,147.88,148.88,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240207.pdf
2024-02-08,147.15,148.15,149.15,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240208.pdf
2024-02-09,148.53,149.53,150.53,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240209.pdf
2024-02-10,,,,
2024-02-11,,,,
2024-02-12,,,,
2024-02-13,148.39,149.39,150.39,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240213.pdf
2024-02-14,149.68,150.68,151.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240214.pdf
2024-02-15,149.49,150.49,151.49,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240215.pdf
2024-02-16,149.26,150.26,151.26,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240216.pdf
2024-02-17,,,,
2024-02-18,,,,
2024-02-19,149.03,150.03,151.03,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240219.pdf
2024-02-20,149.38,150.38,151.38,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240220.pdf
2024-02-21,149.16,150.16,151.16,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240221.pdf
2024-02-22,149.55,150.55,151.55,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240222.pdf
2024-02-23,,,,
2024-02-24,,,,
2024-02-25,,,,
2024-02-26,149.36,150.36,151.36,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240226.pdf
2024-02-27,149.66,150.66,151.66,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240227.pdf
2024-02-28,149.50,150.50,151.50,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240228.pdf
2024-02-29,149.67,150.67,151.67,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240229.pdf
2024-03-01,149.31,150.31,151.31,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240301.pdf
2024-03-02,,,,
2024-03-03,,,,
2024-03-04,149.08,150.08,151.08,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240304.pdf
2024-03-05,149.42,150.42,151.42,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240305.pdf
2024-03-06,149.05,150.05,151.05,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240306.pdf
2024-03-07,148.02,149.02,150.02,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240307.pdf
2024-03-08,146.86,147.86,148.86,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240308.pdf
2024-03-09,,,,
2024-03-10,,,,
2024-03-11,145.82,146.82,147.82,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240311.pdf
2024-03-12,145.85,146.85,147.85,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240312.pdf
2024-03-13,146.53,147.53,148.53,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240313.pdf
2024-03-14,146.68,147.68,148.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240314.pdf
2024-03-15,147.59,148.59,149.59,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240315.pdf
2024-03-16,,,,
2024-03-17,,,,
2024-03-18,148.32,149.32,150.32,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240318.pdf
2024-03-19,148.28,149.28,150.28,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240319.pdf
2024-03-20,,,,
2024-03-21,149.79,150.79,151.79,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240321.pdf
2024-03-22,150.59,151.59,152.59,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240322.pdf
2024-03-23,,,,
2024-03-24,,,,
2024-03-25,150.43,151.43,152.43,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240325.pdf
2024-03-26,150.33,151.33,152.33,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240326.pdf
2024-03-27,150.57,151.57,152.57,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240327.pdf
2024-03-28,150.52,151.52,152.52,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240328.pdf
2024-03-29,150.41,151.41,152.41,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240329.pdf
2024-03-30,,,,
2024-03-31,,,,
2024-04-01,150.43,151.43,152.43,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240401.pdf
2024-04-02,150.76,151.76,152.76,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240402.pdf
2024-04-03,150.60,151.60,152.60,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240403.pdf
2024-04-04,150.74,151.74,152.74,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240404.pdf
2024-04-05,149.99,150.99,151.99,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240405.pdf
2024-04-06,,,,
2024-04-07,,,,
2024-04-08,150.80,151.80,152.80,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation240408.pdf
