日期,TTB,TTM,TTS,URL
2022-01-01,,,,
2022-01-02,,,,
2022-01-03,,,,
2022-01-04,114.43,115.43,116.43,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220104.pdf
2022-01-05,115.23,116.23,117.23,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220105.pdf
2022-01-06,115.05,116.05,117.05,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220106.pdf
2022-01-07,115.01,116.01,117.01,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220107.pdf
2022-01-08,,,,
2022-01-09,,,,
2022-01-10,,,,
2022-01-11,114.34,115.34,116.34,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220111.pdf
2022-01-12,114.34,115.34,116.34,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220112.pdf
2022-01-13,113.68,114.68,115.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220113.pdf
2022-01-14,113.10,114.10,115.10,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220114.pdf
2022-01-15,,,,
2022-01-16,,,,
2022-01-17,113.35,114.35,115.35,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220117.pdf
2022-01-18,113.57,114.57,115.57,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220118.pdf
2022-01-19,113.72,114.72,115.72,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220119.pdf
2022-01-20,113.32,114.32,115.32,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220120.pdf
2022-01-21,112.85,113.85,114.85,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220121.pdf
2022-01-22,,,,
2022-01-23,,,,
2022-01-24,112.84,113.84,114.84,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220124.pdf
2022-01-25,113.02,114.02,115.02,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220125.pdf
2022-01-26,112.84,113.84,114.84,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220126.pdf
2022-01-27,113.68,114.68,115.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220127.pdf
2022-01-28,114.47,115.47,116.47,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220128.pdf
2022-01-29,,,,
2022-01-30,,,,
2022-01-31,114.44,115.44,116.44,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220131.pdf
2022-02-01,114.17,115.17,116.17,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220201.pdf
2022-02-02,113.71,114.71,115.71,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220202.pdf
2022-02-03,113.47,114.47,115.47,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220203.pdf
2022-02-04,114.01,115.01,116.01,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220204.pdf
2022-02-05,,,,
2022-02-06,,,,
2022-02-07,114.28,115.28,116.28,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220207.pdf
2022-02-08,114.30,115.30,116.30,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220208.pdf
2022-02-09,114.56,115.56,116.56,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220209.pdf
2022-02-10,114.63,115.63,116.63,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation220210.pdf
2022-02-11,,,,
2022-02-12,,,,
2022-02-13,,,,
