日期,TTB,TTM,TTS,URL
2023-01-01,,,,
2023-01-02,,,,
2023-01-03,,,,
2023-01-04,130.01,131.01,132.01,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230104.pdf
2023-01-05,131.16,132.16,133.16,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230105.pdf
2023-01-06,132.74,133.74,134.74,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230106.pdf
2023-01-07,,,,
2023-01-08,,,,
2023-01-09,,,,
2023-01-10,130.87,131.87,132.87,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230110.pdf
2023-01-11,131.40,132.40,133.40,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230111.pdf
2023-01-12,131.00,132.00,133.00,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230112.pdf
2023-01-13,128.30,129.30,130.30,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230113.pdf
2023-01-14,,,,
2023-01-15,,,,
2023-01-16,126.97,127.97,128.97,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230116.pdf
2023-01-17,127.39,128.39,129.39,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230117.pdf
2023-01-18,127.89,128.89,129.89,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230118.pdf
2023-01-19,127.49,128.49,129.49,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230119.pdf
2023-01-20,127.72,128.72,129.72,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230120.pdf
2023-01-21,,,,
2023-01-22,,,,
2023-01-23,128.30,129.30,130.30,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230123.pdf
2023-01-24,129.42,130.42,131.42,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230124.pdf
2023-01-25,129.40,130.40,131.40,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230125.pdf
2023-01-26,128.27,129.27,130.27,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230126.pdf
2023-01-27,128.64,129.64,130.64,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230127.pdf
2023-01-28,,,,
2023-01-29,,,,
2023-01-30,129.11,130.11,131.11,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230130.pdf
2023-01-31,129.47,130.47,131.47,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230131.pdf
2023-02-01,128.94,129.94,130.94,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230201.pdf
2023-02-02,127.50,128.50,129.50,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230202.pdf
2023-02-03,127.75,128.75,129.75,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230203.pdf
2023-02-04,,,,
2023-02-05,,,,
2023-02-06,131.44,132.44,133.44,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230206.pdf
2023-02-07,131.58,132.58,133.58,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230207.pdf
2023-02-08,129.93,130.93,131.93,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230208.pdf
2023-02-09,130.63,131.63,132.63,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230209.pdf
2023-02-10,130.70,131.70,132.70,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230210.pdf
2023-02-11,,,,
2023-02-12,,,,
2023-02-13,130.79,131.79,132.79,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230213.pdf
2023-02-14,131.33,132.33,133.33,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230214.pdf
2023-02-15,131.77,132.77,133.77,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230215.pdf
2023-02-16,133.15,134.15,135.15,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230216.pdf
2023-02-17,133.40,134.40,135.40,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230217.pdf
2023-02-18,,,,
2023-02-19,,,,
2023-02-20,133.47,134.47,135.47,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230220.pdf
2023-02-21,133.32,134.32,135.32,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230221.pdf
2023-02-22,133.90,134.90,135.90,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230222.pdf
2023-02-23,,,,
2023-02-24,133.31,134.31,135.31,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230224.pdf
2023-02-25,,,,
2023-02-26,,,,
2023-02-27,135.24,136.24,137.24,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230227.pdf
2023-02-28,135.34,136.34,137.34,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230228.pdf
2023-03-01,135.40,136.40,137.40,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230301.pdf
2023-03-02,135.20,136.20,137.20,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230302.pdf
2023-03-03,135.71,136.71,137.71,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230303.pdf
2023-03-04,,,,
2023-03-05,,,,
2023-03-06,134.92,135.92,136.92,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230306.pdf
2023-03-07,135.13,136.13,137.13,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230307.pdf
2023-03-08,136.40,137.40,138.40,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230308.pdf
2023-03-09,136.11,137.11,138.11,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230309.pdf
2023-03-10,135.06,136.06,137.06,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230310.pdf
2023-03-11,,,,
2023-03-12,,,,
2023-03-13,133.37,134.37,135.37,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230313.pdf
2023-03-14,132.22,133.22,134.22,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230314.pdf
2023-03-15,133.64,134.64,135.64,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230315.pdf
2023-03-16,132.30,133.30,134.30,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230316.pdf
2023-03-17,132.61,133.61,134.61,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230317.pdf
2023-03-18,,,,
2023-03-19,,,,
2023-03-20,131.69,132.69,133.69,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230320.pdf
2023-03-21,,,,
2023-03-22,131.57,132.57,133.57,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230322.pdf
2023-03-23,129.97,130.97,131.97,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230323.pdf
2023-03-24,129.69,130.69,131.69,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation230324.pdf
2023-03-25,,,,
2023-03-26,,,,
