日期,TTB,TTM,TTS,URL
2021-01-01,,,,
2021-01-02,,,,
2021-01-03,,,,
2021-01-04,102.09,103.09,104.09,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210104.pdf
2021-01-05,102.15,103.15,104.15,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210105.pdf
2021-01-06,101.68,102.68,103.68,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210106.pdf
2021-01-07,102.01,103.01,104.01,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210107.pdf
2021-01-08,102.85,103.85,104.85,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210108.pdf
2021-01-09,,,,
2021-01-10,,,,
2021-01-11,,,,
2021-01-12,103.23,104.23,105.23,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210112.pdf
2021-01-13,102.69,103.69,104.69,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210113.pdf
2021-01-14,102.95,103.95,104.95,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210114.pdf
2021-01-15,102.84,103.84,104.84,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210115.pdf
2021-01-16,,,,
2021-01-17,,,,
2021-01-18,102.80,103.80,104.80,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210118.pdf
2021-01-19,102.74,103.74,104.74,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210119.pdf
2021-01-20,102.93,103.93,104.93,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210120.pdf
2021-01-21,102.62,103.62,104.62,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210121.pdf
2021-01-22,102.54,103.54,104.54,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210122.pdf
2021-01-23,,,,
2021-01-24,,,,
2021-01-25,102.84,103.84,104.84,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210125.pdf
2021-01-26,102.75,103.75,104.75,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210126.pdf
2021-01-27,102.69,103.69,104.69,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210127.pdf
2021-01-28,103.28,104.28,105.28,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210128.pdf
2021-01-29,103.48,104.48,105.48,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210129.pdf
2021-01-30,,,,
2021-01-31,,,,
2021-02-01,103.70,104.70,105.70,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210201.pdf
2021-02-02,103.89,104.89,105.89,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210202.pdf
2021-02-03,104.04,105.04,106.04,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210203.pdf
2021-02-04,104.04,105.04,106.04,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210204.pdf
2021-02-05,104.55,105.55,106.55,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210205.pdf
2021-02-06,,,,
2021-02-07,,,,
2021-02-08,104.55,105.55,106.55,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210208.pdf
2021-02-09,104.18,105.18,106.18,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210209.pdf
2021-02-10,103.62,104.62,105.62,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210210.pdf
2021-02-11,,,,
2021-02-12,103.75,104.75,105.75,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210212.pdf
2021-02-13,,,,
2021-02-14,,,,
2021-02-15,104.11,105.11,106.11,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210215.pdf
2021-02-16,104.49,105.49,106.49,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210216.pdf
2021-02-17,105.17,106.17,107.17,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210217.pdf
2021-02-18,104.75,105.75,106.75,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210218.pdf
2021-02-19,104.73,105.73,106.73,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210219.pdf
2021-02-20,,,,
2021-02-21,,,,
2021-02-22,104.50,105.50,106.50,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210222.pdf
2021-02-23,,,,
2021-02-24,104.42,105.42,106.42,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210224.pdf
2021-02-25,105.06,106.06,107.06,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210225.pdf
2021-02-26,105.24,106.24,107.24,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210226.pdf
2021-02-27,,,,
2021-02-28,,,,
2021-03-01,105.49,106.49,107.49,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210301.pdf
2021-03-02,105.85,106.85,107.85,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210302.pdf
2021-03-03,105.80,106.80,107.80,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210303.pdf
2021-03-04,105.99,106.99,107.99,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210304.pdf
2021-03-05,106.91,107.91,108.91,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210305.pdf
2021-03-06,,,,
2021-03-07,,,,
2021-03-08,107.37,108.37,109.37,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210308.pdf
2021-03-09,108.13,109.13,110.13,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210309.pdf
2021-03-10,107.58,108.58,109.58,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210310.pdf
2021-03-11,107.51,108.51,109.51,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210311.pdf
2021-03-12,107.61,108.61,109.61,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210312.pdf
2021-03-13,,,,
2021-03-14,,,,
2021-03-15,108.08,109.08,110.08,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210315.pdf
2021-03-16,108.24,109.24,110.24,https://www.mizuhobank.co.jp/market/historical/backnumber_b/pdf/fx-quotation210316.pdf
